row_id,dataset_id,city,country,tile_id,latitude,longitude,target_road_segments,target_intersection_nodes,highway_ways,major_road_ways,building_ways,poi_objects,park_objects,water_objects,landuse_residential,landuse_commercial,landuse_industrial,landuse_retail
satca_122::Algiers::0,satca_osm_truth_122,Algiers,Algeria,0,36.731277,3.03069,567.0,3.0,51.0,11.0,92.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::1,satca_osm_truth_122,Algiers,Algeria,1,36.731277,3.036312,465.0,9.0,53.0,3.0,155.0,14.0,0.0,0.0,4.0,1.0,0.0,0.0
satca_122::Algiers::2,satca_osm_truth_122,Algiers,Algeria,2,36.731277,3.041934,454.0,6.0,63.0,0.0,474.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
satca_122::Algiers::3,satca_osm_truth_122,Algiers,Algeria,3,36.731277,3.047556,913.0,16.0,107.0,16.0,282.0,13.0,0.0,0.0,7.0,3.0,0.0,0.0
satca_122::Algiers::4,satca_osm_truth_122,Algiers,Algeria,4,36.731277,3.053178,634.0,15.0,86.0,15.0,115.0,13.0,0.0,0.0,7.0,4.0,0.0,0.0
satca_122::Algiers::5,satca_osm_truth_122,Algiers,Algeria,5,36.731277,3.0588,497.0,11.0,71.0,18.0,73.0,19.0,0.0,0.0,7.0,6.0,0.0,0.0
satca_122::Algiers::6,satca_osm_truth_122,Algiers,Algeria,6,36.731277,3.064422,710.0,24.0,105.0,22.0,48.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0
satca_122::Algiers::7,satca_osm_truth_122,Algiers,Algeria,7,36.731277,3.070044,491.0,7.0,64.0,13.0,119.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
satca_122::Algiers::8,satca_osm_truth_122,Algiers,Algeria,8,36.731277,3.075666,486.0,14.0,68.0,19.0,211.0,25.0,0.0,0.0,6.0,0.0,1.0,0.0
satca_122::Algiers::9,satca_osm_truth_122,Algiers,Algeria,9,36.731277,3.081288,429.0,9.0,49.0,3.0,325.0,12.0,0.0,0.0,3.0,0.0,2.0,0.0
satca_122::Algiers::10,satca_osm_truth_122,Algiers,Algeria,10,36.735782,3.03069,1011.0,17.0,91.0,28.0,138.0,26.0,0.0,0.0,9.0,3.0,0.0,0.0
satca_122::Algiers::11,satca_osm_truth_122,Algiers,Algeria,11,36.735782,3.036312,802.0,8.0,77.0,9.0,197.0,36.0,1.0,0.0,5.0,1.0,0.0,0.0
satca_122::Algiers::12,satca_osm_truth_122,Algiers,Algeria,12,36.735782,3.041934,599.0,8.0,56.0,18.0,223.0,34.0,0.0,0.0,6.0,0.0,1.0,0.0
satca_122::Algiers::13,satca_osm_truth_122,Algiers,Algeria,13,36.735782,3.047556,305.0,5.0,46.0,11.0,216.0,19.0,0.0,0.0,5.0,1.0,0.0,0.0
satca_122::Algiers::14,satca_osm_truth_122,Algiers,Algeria,14,36.735782,3.053178,299.0,5.0,45.0,3.0,401.0,7.0,0.0,0.0,7.0,1.0,1.0,0.0
satca_122::Algiers::15,satca_osm_truth_122,Algiers,Algeria,15,36.735782,3.0588,424.0,8.0,43.0,6.0,401.0,10.0,0.0,0.0,3.0,0.0,1.0,0.0
satca_122::Algiers::16,satca_osm_truth_122,Algiers,Algeria,16,36.735782,3.064422,412.0,12.0,48.0,19.0,214.0,35.0,1.0,0.0,3.0,1.0,0.0,3.0
satca_122::Algiers::17,satca_osm_truth_122,Algiers,Algeria,17,36.735782,3.070044,242.0,8.0,33.0,15.0,83.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0
satca_122::Algiers::18,satca_osm_truth_122,Algiers,Algeria,18,36.735782,3.075666,488.0,10.0,67.0,9.0,59.0,16.0,7.0,0.0,2.0,1.0,0.0,0.0
satca_122::Algiers::19,satca_osm_truth_122,Algiers,Algeria,19,36.735782,3.081288,559.0,8.0,63.0,5.0,82.0,10.0,4.0,0.0,2.0,1.0,0.0,0.0
satca_122::Algiers::20,satca_osm_truth_122,Algiers,Algeria,20,36.740286,3.03069,625.0,2.0,35.0,8.0,244.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
satca_122::Algiers::21,satca_osm_truth_122,Algiers,Algeria,21,36.740286,3.036312,627.0,1.0,39.0,3.0,331.0,23.0,0.0,0.0,2.0,1.0,0.0,0.0
satca_122::Algiers::22,satca_osm_truth_122,Algiers,Algeria,22,36.740286,3.041934,559.0,8.0,44.0,12.0,204.0,16.0,3.0,0.0,2.0,1.0,0.0,0.0
satca_122::Algiers::23,satca_osm_truth_122,Algiers,Algeria,23,36.740286,3.047556,451.0,16.0,63.0,29.0,219.0,15.0,0.0,0.0,6.0,1.0,1.0,1.0
satca_122::Algiers::24,satca_osm_truth_122,Algiers,Algeria,24,36.740286,3.053178,428.0,4.0,48.0,2.0,409.0,9.0,0.0,0.0,2.0,4.0,2.0,0.0
satca_122::Algiers::25,satca_osm_truth_122,Algiers,Algeria,25,36.740286,3.0588,516.0,4.0,37.0,6.0,235.0,4.0,0.0,0.0,3.0,3.0,2.0,0.0
satca_122::Algiers::26,satca_osm_truth_122,Algiers,Algeria,26,36.740286,3.064422,499.0,9.0,54.0,11.0,279.0,16.0,0.0,0.0,3.0,1.0,0.0,0.0
satca_122::Algiers::27,satca_osm_truth_122,Algiers,Algeria,27,36.740286,3.070044,456.0,6.0,47.0,10.0,62.0,5.0,10.0,0.0,2.0,0.0,0.0,0.0
satca_122::Algiers::28,satca_osm_truth_122,Algiers,Algeria,28,36.740286,3.075666,491.0,6.0,37.0,17.0,60.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::29,satca_osm_truth_122,Algiers,Algeria,29,36.740286,3.081288,532.0,5.0,59.0,7.0,165.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::30,satca_osm_truth_122,Algiers,Algeria,30,36.744791,3.03069,845.0,10.0,50.0,14.0,270.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
satca_122::Algiers::31,satca_osm_truth_122,Algiers,Algeria,31,36.744791,3.036312,399.0,8.0,43.0,0.0,417.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
satca_122::Algiers::32,satca_osm_truth_122,Algiers,Algeria,32,36.744791,3.041934,326.0,11.0,45.0,8.0,382.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::33,satca_osm_truth_122,Algiers,Algeria,33,36.744791,3.047556,416.0,9.0,40.0,2.0,367.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
satca_122::Algiers::34,satca_osm_truth_122,Algiers,Algeria,34,36.744791,3.053178,377.0,8.0,48.0,2.0,627.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0
satca_122::Algiers::35,satca_osm_truth_122,Algiers,Algeria,35,36.744791,3.0588,362.0,4.0,33.0,5.0,450.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0
satca_122::Algiers::36,satca_osm_truth_122,Algiers,Algeria,36,36.744791,3.064422,489.0,19.0,100.0,16.0,262.0,27.0,2.0,0.0,4.0,0.0,0.0,0.0
satca_122::Algiers::37,satca_osm_truth_122,Algiers,Algeria,37,36.744791,3.070044,1215.0,19.0,145.0,21.0,106.0,22.0,18.0,0.0,2.0,0.0,0.0,0.0
satca_122::Algiers::38,satca_osm_truth_122,Algiers,Algeria,38,36.744791,3.075666,477.0,6.0,35.0,3.0,200.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0
satca_122::Algiers::39,satca_osm_truth_122,Algiers,Algeria,39,36.744791,3.081288,471.0,8.0,58.0,10.0,223.0,33.0,0.0,0.0,2.0,3.0,4.0,0.0
satca_122::Algiers::40,satca_osm_truth_122,Algiers,Algeria,40,36.749295,3.03069,539.0,6.0,50.0,5.0,194.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0
satca_122::Algiers::41,satca_osm_truth_122,Algiers,Algeria,41,36.749295,3.036312,270.0,6.0,27.0,10.0,293.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::42,satca_osm_truth_122,Algiers,Algeria,42,36.749295,3.041934,494.0,20.0,55.0,32.0,230.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::43,satca_osm_truth_122,Algiers,Algeria,43,36.749295,3.047556,460.0,4.0,30.0,6.0,146.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
satca_122::Algiers::44,satca_osm_truth_122,Algiers,Algeria,44,36.749295,3.053178,625.0,4.0,45.0,12.0,365.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0
satca_122::Algiers::45,satca_osm_truth_122,Algiers,Algeria,45,36.749295,3.0588,641.0,9.0,62.0,10.0,452.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
satca_122::Algiers::46,satca_osm_truth_122,Algiers,Algeria,46,36.749295,3.064422,541.0,14.0,76.0,22.0,294.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0
