city,legacy_city,country,region,latitude,longitude,population,membership_source,city_norm_key,in_96,in_historical43,source_count,is_audited9,is_structural43,is_heldout17,active_line,paper_memberships
Algiers,Algiers,Algeria,Africa,36.7538,3.0588,2768000,current_96,algiers,True,False,1,False,False,False,mainline_122,scale122
Luanda,Luanda,Angola,Africa,-8.8383,13.2344,8330000,current_96,luanda,True,False,1,False,False,False,mainline_122,scale122
Abidjan,Abidjan,Côte d'Ivoire,Africa,5.36,-4.0083,4707000,current_96,abidjan,True,False,1,False,False,False,mainline_122,scale122
Kinshasa,Kinshasa,DR Congo,Africa,-4.4419,15.2663,14342000,current_96,kinshasa,True,False,1,False,False,False,mainline_122,scale122
Cairo,Cairo,Egypt,Africa,30.0444,31.2357,20900000,current_96,cairo,True,True,2,False,True,True,mainline_122,"structural43,heldout17,scale122"
Addis Ababa,AddisAbaba,Ethiopia,Africa,9.032,38.7469,3041000,candidate_expansion,addisababa,False,True,1,False,True,False,mainline_122,"structural43,scale122"
Accra,Accra,Ghana,Africa,5.6037,-0.187,2291000,current_96,accra,True,True,2,False,True,True,mainline_122,"structural43,heldout17,scale122"
Nairobi,Nairobi,Kenya,Africa,-1.2864,36.8172,4397000,current_96,nairobi,True,True,2,False,True,True,mainline_122,"structural43,heldout17,scale122"
Casablanca,Casablanca,Morocco,Africa,33.5731,-7.5898,3752000,current_96,casablanca,True,False,1,False,False,False,mainline_122,scale122
Maputo,Maputo,Mozambique,Africa,-25.9655,32.5832,1101000,current_96,maputo,True,False,1,False,False,False,mainline_122,scale122
Lagos,Lagos,Nigeria,Africa,6.5244,3.3792,14862000,current_96,lagos,True,True,2,False,True,True,mainline_122,"structural43,heldout17,scale122"
Dakar,Dakar,Senegal,Africa,14.7167,-17.4677,1146000,current_96,dakar,True,False,1,False,False,False,mainline_122,scale122
Cape Town,CapeTown,South Africa,Africa,-33.9249,18.4241,4618000,current_96,capetown,True,True,2,False,True,True,mainline_122,"structural43,heldout17,scale122"
Johannesburg,Johannesburg,South Africa,Africa,-26.2041,28.0473,5635000,current_96,johannesburg,True,True,2,False,True,True,mainline_122,"structural43,heldout17,scale122"
Khartoum,Khartoum,Sudan,Africa,15.5007,32.5599,5274000,current_96,khartoum,True,False,1,False,False,False,mainline_122,scale122
Tunis,Tunis,Tunisia,Africa,36.8065,10.1815,1056000,current_96,tunis,True,False,1,False,False,False,mainline_122,scale122
Kampala,Kampala,Uganda,Africa,0.3476,32.5825,1507000,current_96,kampala,True,False,1,False,False,False,mainline_122,scale122
Beijing,Beijing,China,East Asia,39.9042,116.4074,21540000,candidate_expansion,beijing,False,True,1,True,True,False,mainline_122,"audited9,structural43,scale122"
Changchun,Changchun,China,East Asia,43.8171,125.3235,7677000,current_96,changchun,True,False,1,False,False,False,mainline_122,scale122
Changsha,Changsha,China,East Asia,28.2282,112.9388,8154000,current_96,changsha,True,False,1,False,False,False,mainline_122,scale122
Chengdu,Chengdu,China,East Asia,30.5728,104.0668,16045000,current_96,chengdu,True,False,1,False,False,False,mainline_122,scale122
Chongqing,Chongqing,China,East Asia,29.4316,106.9123,32054000,current_96,chongqing,True,False,1,False,False,False,mainline_122,scale122
Dalian,Dalian,China,East Asia,38.914,121.6147,6690000,current_96,dalian,True,False,1,False,False,False,mainline_122,scale122
Dongguan,Dongguan,China,East Asia,23.0209,113.7518,8342000,current_96,dongguan,True,False,1,False,False,False,mainline_122,scale122
Guangzhou,Guangzhou,China,East Asia,23.1291,113.2644,15300000,current_96,guangzhou,True,False,1,False,False,False,mainline_122,scale122
Harbin,Harbin,China,East Asia,45.8038,126.534,10635000,current_96,harbin,True,False,1,False,False,False,mainline_122,scale122
Hefei,Hefei,China,East Asia,31.8206,117.2272,8189000,current_96,hefei,True,False,1,False,False,False,mainline_122,scale122
HongKong,HongKong,China,East Asia,22.3193,114.1694,7498000,manual_metadata,hongkong,False,True,1,True,True,False,mainline_122,"audited9,structural43,scale122"
