slice_id,city,display_city,country,region,membership_source,locked,parent_slice,active_for_paper,active_for_scale
audited9,Beijing,Beijing,China,East Asia,fixed9_runner,True,structural43,True,False
audited9,HongKong,HongKong,China,East Asia,fixed9_runner,True,structural43,True,False
audited9,London,London,UK,Europe,fixed9_runner,True,structural43,True,False
audited9,NewYork,NewYork,USA,North America,fixed9_runner,True,structural43,True,False
audited9,Paris,Paris,France,Europe,fixed9_runner,True,structural43,True,False
audited9,Seoul,Seoul,South Korea,East Asia,fixed9_runner,True,structural43,True,False
audited9,Shanghai,Shanghai,China,East Asia,fixed9_runner,True,structural43,True,False
audited9,Singapore,Singapore,Singapore,Southeast Asia,fixed9_runner,True,structural43,True,False
audited9,Tokyo,Tokyo,Japan,East Asia,fixed9_runner,True,structural43,True,False
structural43,Accra,Accra,Ghana,Africa,legacy43_manifest,True,scale122,True,True
structural43,AddisAbaba,Addis Ababa,Ethiopia,Africa,legacy43_manifest,True,scale122,True,True
structural43,Amsterdam,Amsterdam,Netherlands,Europe,legacy43_manifest,True,scale122,True,True
structural43,Bangkok,Bangkok,Thailand,Southeast Asia,legacy43_manifest,True,scale122,True,True
structural43,Beijing,Beijing,China,East Asia,legacy43_manifest,True,scale122,True,True
structural43,Bengaluru,Bengaluru,India,South Asia,legacy43_manifest,True,scale122,True,True
structural43,Berlin,Berlin,Germany,Europe,legacy43_manifest,True,scale122,True,True
structural43,Bogota,Bogota,Colombia,South America,legacy43_manifest,True,scale122,True,True
structural43,BuenosAires,Buenos Aires,Argentina,South America,legacy43_manifest,True,scale122,True,True
structural43,Cairo,Cairo,Egypt,Africa,legacy43_manifest,True,scale122,True,True
structural43,CapeTown,Cape Town,South Africa,Africa,legacy43_manifest,True,scale122,True,True
structural43,Chicago,Chicago,USA,North America,legacy43_manifest,True,scale122,True,True
structural43,Delhi,Delhi,India,South Asia,legacy43_manifest,True,scale122,True,True
structural43,Dubai,Dubai,UAE,Middle East,legacy43_manifest,True,scale122,True,True
structural43,Hanoi,Hanoi,Vietnam,Southeast Asia,legacy43_manifest,True,scale122,True,True
structural43,HongKong,HongKong,China,East Asia,legacy43_manifest,True,scale122,True,True
structural43,Istanbul,Istanbul,Turkey,Middle East,legacy43_manifest,True,scale122,True,True
structural43,Jakarta,Jakarta,Indonesia,Southeast Asia,legacy43_manifest,True,scale122,True,True
