split_type,source_city,target_city,shot_level,seed
LOCO,Luanda,Algiers,0,0
LOCO,Luanda,Algiers,1,0
LOCO,Luanda,Algiers,5,0
LOCO,Luanda,Algiers,10,0
LOCO,Luanda,Algiers,20,0
LOCO,Luanda,Algiers,50,0
LOCO,Luanda,Algiers,100,0
LOCO,Luanda,Algiers,200,0
LOCO,Abidjan,Luanda,0,0
LOCO,Abidjan,Luanda,1,0
LOCO,Abidjan,Luanda,5,0
LOCO,Abidjan,Luanda,10,0
LOCO,Abidjan,Luanda,20,0
LOCO,Abidjan,Luanda,50,0
LOCO,Abidjan,Luanda,100,0
LOCO,Abidjan,Luanda,200,0
LOCO,Kinshasa,Abidjan,0,0
LOCO,Kinshasa,Abidjan,1,0
LOCO,Kinshasa,Abidjan,5,0
LOCO,Kinshasa,Abidjan,10,0
LOCO,Kinshasa,Abidjan,20,0
LOCO,Kinshasa,Abidjan,50,0
LOCO,Kinshasa,Abidjan,100,0
LOCO,Kinshasa,Abidjan,200,0
LOCO,Cairo,Kinshasa,0,0
LOCO,Cairo,Kinshasa,1,0
LOCO,Cairo,Kinshasa,5,0
LOCO,Cairo,Kinshasa,10,0
LOCO,Cairo,Kinshasa,20,0
LOCO,Cairo,Kinshasa,50,0
LOCO,Cairo,Kinshasa,100,0
LOCO,Cairo,Kinshasa,200,0
LOCO,Addis Ababa,Cairo,0,0
LOCO,Addis Ababa,Cairo,1,0
LOCO,Addis Ababa,Cairo,5,0
LOCO,Addis Ababa,Cairo,10,0
LOCO,Addis Ababa,Cairo,20,0
LOCO,Addis Ababa,Cairo,50,0
LOCO,Addis Ababa,Cairo,100,0
LOCO,Addis Ababa,Cairo,200,0
LOCO,Accra,Addis Ababa,0,0
LOCO,Accra,Addis Ababa,1,0
LOCO,Accra,Addis Ababa,5,0
LOCO,Accra,Addis Ababa,10,0
LOCO,Accra,Addis Ababa,20,0
LOCO,Accra,Addis Ababa,50,0
LOCO,Accra,Addis Ababa,100,0
LOCO,Accra,Addis Ababa,200,0
LOCO,Nairobi,Accra,0,0
LOCO,Nairobi,Accra,1,0
LOCO,Nairobi,Accra,5,0
LOCO,Nairobi,Accra,10,0
LOCO,Nairobi,Accra,20,0
LOCO,Nairobi,Accra,50,0
LOCO,Nairobi,Accra,100,0
LOCO,Nairobi,Accra,200,0
LOCO,Casablanca,Nairobi,0,0
LOCO,Casablanca,Nairobi,1,0
LOCO,Casablanca,Nairobi,5,0
LOCO,Casablanca,Nairobi,10,0
LOCO,Casablanca,Nairobi,20,0
LOCO,Casablanca,Nairobi,50,0
LOCO,Casablanca,Nairobi,100,0
LOCO,Casablanca,Nairobi,200,0
LOCO,Maputo,Casablanca,0,0
LOCO,Maputo,Casablanca,1,0
LOCO,Maputo,Casablanca,5,0
LOCO,Maputo,Casablanca,10,0
LOCO,Maputo,Casablanca,20,0
LOCO,Maputo,Casablanca,50,0
LOCO,Maputo,Casablanca,100,0
LOCO,Maputo,Casablanca,200,0
LOCO,Lagos,Maputo,0,0
LOCO,Lagos,Maputo,1,0
LOCO,Lagos,Maputo,5,0
LOCO,Lagos,Maputo,10,0
LOCO,Lagos,Maputo,20,0
LOCO,Lagos,Maputo,50,0
LOCO,Lagos,Maputo,100,0
LOCO,Lagos,Maputo,200,0
LOCO,Dakar,Lagos,0,0
LOCO,Dakar,Lagos,1,0
LOCO,Dakar,Lagos,5,0
LOCO,Dakar,Lagos,10,0
LOCO,Dakar,Lagos,20,0
LOCO,Dakar,Lagos,50,0
LOCO,Dakar,Lagos,100,0
LOCO,Dakar,Lagos,200,0
