split_type,source_city,target_city,shot_level,seed,region,backbone,generated_utc
LOCO,Luanda,Algiers,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Luanda,Algiers,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Luanda,Algiers,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Luanda,Algiers,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Luanda,Algiers,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Luanda,Algiers,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Luanda,Algiers,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Luanda,Algiers,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Abidjan,Luanda,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kinshasa,Abidjan,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cairo,Kinshasa,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Addis Ababa,Cairo,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Accra,Addis Ababa,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Nairobi,Accra,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Casablanca,Nairobi,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Maputo,Casablanca,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Lagos,Maputo,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Dakar,Lagos,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Cape Town,Dakar,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Johannesburg,Cape Town,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Khartoum,Johannesburg,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Tunis,Khartoum,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Kampala,Tunis,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Beijing,Kampala,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changchun,Beijing,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,20,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,50,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,100,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Changsha,Changchun,200,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Chengdu,Changsha,0,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Chengdu,Changsha,1,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Chengdu,Changsha,5,0,,122_active118,2026-04-27T08:29:12.793540+00:00
LOCO,Chengdu,Changsha,10,0,,122_active118,2026-04-27T08:29:12.793540+00:00
