city,country,road_count,road_length_km,road_density,primary_roads,secondary_roads,residential_roads,tertiary_roads,intersection_count,intersection_density,avg_degree,connectivity_index,circuity,num_nodes,num_edges,poi_count,poi_diversity,poi_density,poi_types,poi_food,poi_education,poi_health,poi_retail,poi_finance,poi_transport,landuse_count,landuse_diversity,landuse_mix,landuse_types,residential_area,commercial_area,industrial_area,green_area,building_count,building_density,residential_buildings,commercial_buildings,industrial_buildings
Algiers,Algeria,55741,19233.65,12.021,1189,1811,26308,1718,9011,5.6319,1.25,1.091,1.201,351349,383413,14751,4.1198,9.2194,235,2382,365,1625,1069,382,614,7975,2.359,0.669,34,1408,210,344,1881,342859,214.2869,3236,185,1118
Luanda,Angola,73194,21688.35,13.5552,751,919,50628,1605,13994,8.7462,1.32,1.133,1.183,382745,433742,7375,3.8825,4.6094,187,768,131,344,632,454,250,2118,2.1193,0.6231,30,391,93,152,788,38644,24.1525,332,54,246
Abidjan,Côte d'Ivoire,48885,13120.75,8.2005,466,1306,29568,1747,9135,5.7094,1.34,1.13,1.194,232208,262373,34964,3.9099,21.8525,290,7041,1144,1141,896,555,164,4025,2.164,0.6244,32,1634,269,451,441,395643,247.2769,950,129,163
Kinshasa,DR Congo,42271,17306.0,10.8162,221,354,32012,622,8386,5.2412,1.23,1.097,1.197,315620,346112,7478,3.2975,4.6738,179,681,1055,1597,304,232,36,2032,1.7309,0.504,31,1038,52,49,395,663700,414.8125,833,334,159
Cairo,Egypt,191667,57230.85,35.7693,1196,1546,120560,3110,18815,11.7594,1.32,1.133,1.187,1010067,1144617,7702,3.9643,4.8137,231,1316,229,512,894,387,279,6632,1.8286,0.5276,32,1858,59,95,1935,68190,42.6187,1300,132,93
Addis Ababa,Ethiopia,500,269.3,0.1683,24,6,362,14,74,0.0462,1.11,1.018,1.233,5292,5386,50,3.132,0.0312,29,7,4,4,4,9,0,30,1.2987,0.7248,6,17,0,6,4,372,0.2325,0,1,0
Accra,Ghana,79263,23139.1,14.4619,715,1041,52040,1667,12773,7.9831,1.27,1.087,1.21,425624,462781,16287,3.9095,10.1794,227,1871,785,787,829,867,183,1331,1.7371,0.5397,25,548,257,49,314,538239,336.3994,14725,4921,131
Nairobi,Kenya,74776,25758.4,16.099,506,1707,39937,811,9036,5.6475,1.21,1.055,1.228,488455,515161,20575,3.477,12.8594,246,1970,2804,1114,620,630,263,2495,2.3693,0.6719,34,660,67,189,611,592100,370.0625,1415,387,743
Casablanca,Morocco,58590,19410.7,12.1317,1471,1853,30218,2499,12073,7.5456,1.3,1.126,1.174,344770,388204,5864,3.5697,3.665,182,1332,227,783,255,845,46,2810,2.1109,0.6335,28,680,96,240,633,47826,29.8912,822,340,36
Maputo,Mozambique,48029,19041.2,11.9007,603,621,38132,938,11368,7.105,1.23,1.096,1.184,347372,380820,4040,3.6981,2.525,176,584,215,96,961,161,60,1558,2.2558,0.6509,32,301,91,113,202,437309,273.3181,30609,2205,167
Lagos,Nigeria,70136,20008.05,12.505,554,891,47933,1281,10432,6.52,1.27,1.08,1.219,370610,400161,2728,3.2981,1.705,141,238,155,464,87,195,28,1842,2.203,0.6762,26,578,256,226,181,1243850,777.4062,2088,131,227
