city,country,tile_id,tile_row,tile_col,center_lat,center_lon,south,west,north,east,dist_from_center_km,tile_size_m,tile_protocol_source,legacy_image_path,legacy_city,legacy_tile_name,legacy_zoom,legacy_tile_x,legacy_tile_y
Algiers,Algeria,0,0,0,36.731277,3.03069,36.729025,3.027879,36.73353,3.0335,3.998,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,1,0,1,36.731277,3.036312,36.729025,3.033501,36.73353,3.039122,3.533,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,2,0,2,36.731277,3.041934,36.729025,3.039123,36.73353,3.044744,3.123,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,3,0,3,36.731277,3.047556,36.729025,3.044746,36.73353,3.050366,2.794,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,4,0,4,36.731277,3.053178,36.729025,3.050368,36.73353,3.055988,2.577,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,5,0,5,36.731277,3.0588,36.729025,3.05599,36.73353,3.06161,2.5,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,6,0,6,36.731277,3.064422,36.729025,3.061612,36.73353,3.067232,2.577,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,7,0,7,36.731277,3.070044,36.729025,3.067234,36.73353,3.072854,2.794,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,8,0,8,36.731277,3.075666,36.729025,3.072856,36.73353,3.078477,3.123,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,9,0,9,36.731277,3.081288,36.729025,3.078478,36.73353,3.084099,3.533,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,10,1,0,36.735782,3.03069,36.73353,3.027879,36.738034,3.0335,3.706,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,11,1,1,36.735782,3.036312,36.73353,3.033501,36.738034,3.039122,3.199,500.0,active96,not_released,Algiers,,,,
Algiers,Algeria,12,1,2,36.735782,3.041934,36.73353,3.039123,36.738034,3.044744,2.74,500.0,active96,not_released,Algiers,,,,
