slice_id,target,failure_type,case_count,mean_severity,cities
structural43,intersection_nodes,negative_r2_in_city_ridge,52,5.493899781977934,Accra;Amsterdam;Bangkok;Beijing;Bengaluru;Berlin;BuenosAires;Cairo;CapeTown;Chicago;Delhi;Dubai;HongKong;Istanbul;Jakarta;KualaLumpur;Lagos;Lima;London;LosAngeles;Madrid;Manila;MexicoCity;Nairobi;NewYork;Paris;Riyadh;Rome;Santiago;Seoul;Tokyo;Toronto;Vienna
structural43,road_segments,negative_r2_in_city_ridge,48,3.108694583623586,AddisAbaba;Amsterdam;Bangkok;Beijing;BuenosAires;Cairo;CapeTown;Chicago;HongKong;Jakarta;Johannesburg;KualaLumpur;Lagos;Lima;London;LosAngeles;Madrid;Manila;Nairobi;Paris;RioDeJaneiro;Riyadh;SaoPaulo;Seoul;Tokyo;Vienna
structural43,intersection_nodes,negative_r2_in_city_tabular_knn,44,1.751593960138595,Accra;Amsterdam;Bangkok;Beijing;Bengaluru;Berlin;BuenosAires;Cairo;CapeTown;Chicago;Delhi;Dubai;HongKong;Istanbul;Jakarta;KualaLumpur;Lagos;Lima;London;LosAngeles;Mumbai;Paris;Riyadh;Santiago;SaoPaulo;Seoul;Shanghai;Tokyo;Vienna
structural43,road_segments,negative_r2_in_city_tabular_knn,41,4.231113515989886,Accra;AddisAbaba;Amsterdam;Bangkok;Beijing;Bengaluru;Cairo;CapeTown;Dubai;HongKong;Istanbul;Jakarta;Johannesburg;KualaLumpur;Lagos;Lima;London;LosAngeles;Madrid;MexicoCity;NewYork;Paris;RioDeJaneiro;Riyadh;Santiago;SaoPaulo;Seoul;Tokyo;Vienna
structural43,intersection_nodes,satca_regression,19,0.10907539941483989,Accra;AddisAbaba;Bangkok;Berlin;Chicago;Delhi;HongKong;Istanbul;Lagos;Lima;London;Mumbai;Nairobi;NewYork;Paris;RioDeJaneiro;Seoul;Shanghai;Tokyo
structural43,road_segments,negative_r2_loco_tabular_knn,15,0.8345386156676103,Amsterdam;Bangkok;Beijing;Bengaluru;Berlin;Cairo;CapeTown;Jakarta;Johannesburg;Mumbai;Paris;Riyadh;Seoul;Shanghai;Vienna
structural43,road_segments,satca_regression,14,0.031722180964650015,Bogota;CapeTown;Chicago;Delhi;Istanbul;KualaLumpur;Lagos;Lima;LosAngeles;Mumbai;Paris;Santiago;Singapore;Vancouver
audited9,road_segments,negative_r2_in_city_ridge,13,7.378850566971168,Beijing;HongKong;London;Paris;Seoul;Tokyo
structural43,intersection_nodes,negative_r2_loco_ridge,12,2.199890358042856,Accra;AddisAbaba;Bangkok;Beijing;Bengaluru;Cairo;Jakarta;Lagos;London;Riyadh;Seoul;Shanghai
audited9,road_segments,negative_r2_in_city_tabular_knn,11,13.379862491692323,Beijing;HongKong;London;NewYork;Paris;Seoul;Tokyo
audited9,intersection_nodes,negative_r2_in_city_tabular_knn,11,1.3056649943849814,Beijing;HongKong;London;Paris;Seoul;Shanghai;Tokyo
structural43,intersection_nodes,negative_r2_loco_tabular_knn,11,1.0131434521485831,Bangkok;Beijing;Cairo;Jakarta;Lagos;London;LosAngeles;Paris;Riyadh;Seoul;Shanghai
audited9,intersection_nodes,negative_r2_in_city_ridge,10,6.802466982355689,Beijing;HongKong;London;NewYork;Paris;Seoul;Tokyo
heldout17,intersection_nodes,satca_regression,10,0.0934010089678824,Accra;Chicago;Delhi;Lagos;Mumbai;Nairobi;NewYork;RioDeJaneiro;Seoul;Tokyo
structural43,road_segments,negative_r2_loco_ridge,9,0.9437303305043668,Amsterdam;Bangkok;Beijing;Cairo;Jakarta;Johannesburg;London;Riyadh;Shanghai
heldout17,road_segments,satca_regression,7,0.07162073762624686,CapeTown;Lagos;Mumbai;RioDeJaneiro;Singapore;Tokyo;Toronto
structural43,road_segments,negative_r2,6,0.18886062313950944,Beijing;Bengaluru;Cairo;CapeTown;Johannesburg;Seoul
audited9,intersection_nodes,satca_regression,6,0.06233113196826664,HongKong;London;NewYork;Seoul;Shanghai;Tokyo
audited9,road_segments,negative_r2_loco_tabular_knn,5,1.0719784648299517,Beijing;London;Paris;Seoul;Shanghai
audited9,intersection_nodes,negative_r2_loco_tabular_knn,5,0.9301230611236575,Beijing;London;Paris;Seoul;Shanghai
audited9,intersection_nodes,negative_r2_loco_ridge,4,2.5082427862052823,Beijing;London;Seoul;Shanghai
audited9,road_segments,negative_r2_loco_ridge,4,1.5241407362205635,Beijing;London;Seoul;Shanghai
heldout17,road_segments,negative_r2,4,0.22869969071358096,Cairo;CapeTown;Johannesburg;Mumbai
audited9,road_segments,satca_regression,4,0.04246749910435734,Beijing;HongKong;Paris;Singapore
structural43,intersection_nodes,negative_r2,3,0.48942313020894973,HongKong;Jakarta;Riyadh
audited9,intersection_nodes,negative_r2,1,0.3064806769405557,London
audited9,road_segments,negative_r2,1,0.2436247907702524,Beijing
heldout17,intersection_nodes,negative_r2,1,0.0775532170638906,Cairo
