slice_id,target,shot,method,method_label,cities_count,positive_city_count,negative_city_count,positive_negative_cities,negative_r2_ratio,mean_r2,mean_rmse,mean_mae,mean_eval_count
scale122,intersection_nodes,0,coral_ridge,CORAL ridge,118,36,82,36/82,0.6949152542372882,-22.195124701407888,20.41363548604823,14.974253099327456,70.83898305084746
scale122,intersection_nodes,0,iw_ridge,Importance-weighted ridge,118,76,42,76/42,0.3559322033898305,-0.6299964274883222,11.330093788894796,7.89319265416954,70.83898305084746
scale122,intersection_nodes,0,pooled_ridge,Pooled ridge,118,55,63,55/63,0.5338983050847458,-1.5527852897765053,12.716920050459716,9.059954943835358,70.83898305084746
scale122,intersection_nodes,0,source_only_ridge,Source-only ridge,118,55,63,55/63,0.5338983050847458,-1.5527852897765053,12.716920050459716,9.059954943835358,70.83898305084746
scale122,intersection_nodes,0,tabular_knn,Tabular kNN,118,92,26,92/26,0.22033898305084745,0.19252413909435617,10.04625443453723,6.5602247992863525,70.83898305084746
scale122,intersection_nodes,1,coral_ridge,CORAL ridge,118,35,83,35/83,0.7033898305084746,-22.228540825197474,20.435936979188494,14.995132214387846,69.83898305084746
scale122,intersection_nodes,1,iw_ridge,Importance-weighted ridge,118,76,42,76/42,0.3559322033898305,-0.6285231571626549,11.332762734227883,7.896797281999803,69.83898305084746
scale122,intersection_nodes,1,pooled_ridge,Pooled ridge,118,55,63,55/63,0.5338983050847458,-1.5571100724572107,12.728478315309907,9.072471553174028,69.83898305084746
scale122,intersection_nodes,1,source_only_ridge,Source-only ridge,118,55,63,55/63,0.5338983050847458,-1.5582333115722498,12.730687158999078,9.074434297397202,69.83898305084746
scale122,intersection_nodes,1,tabular_knn,Tabular kNN,118,92,26,92/26,0.22033898305084745,0.18871830195842831,10.058206668246749,6.567922816478793,69.83898305084746
scale122,intersection_nodes,1,target_only_ridge,Target-only ridge,118,0,118,0/118,1.0,-1.1835100307998407,17.633060372759402,13.406471044071399,69.83898305084746
scale122,intersection_nodes,5,coral_ridge,CORAL ridge,118,35,83,35/83,0.7033898305084746,-24.35276761143038,20.331040393224963,14.945214684391017,65.83898305084746
scale122,intersection_nodes,5,iw_ridge,Importance-weighted ridge,118,75,43,75/43,0.3644067796610169,-0.7161917550525718,11.232678055719942,7.843648933538469,65.83898305084746
