target,target_label,shot,strategy,cities_count,positive_city_count,negative_city_count,negative_r2_ratio,mean_r2,std_r2,mean_rmse,mean_mae,worst_city,worst_city_r2,r2_city_mean,rmse_city_mean,mae_city_mean,effective_shift_mean,blend_alpha_mean,shift_signal_mean,expert_weight_source_mean,expert_weight_affine_mean,expert_weight_weighted_mean,expert_error_source_mean,expert_error_affine_mean,expert_error_weighted_mean
intersection_nodes,Street Connectivity,0,source_only,118,113,5,0.0423728813559322,0.5401316363319706,0.2892798082269977,8.495631053266772,5.7135102706501,Riyadh,-1.1251391716721277,0.5401316363319706,8.495631053266772,5.7135102706501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intersection_nodes,Street Connectivity,10,shiftaware_adapt,118,117,1,0.00847457627118644,0.5837652704229982,0.332610812701118,6.9462337396398715,4.714485386711417,Riyadh,-2.235173554612988,0.5837652704229982,6.9462337396398715,4.714485386711417,0.4183925196151503,0.3670550847457627,0.21941907879036837,0.2201800847457627,0.41276483050847457,0.3670550847457627,0.29622127636303314,0.24912018353875215,0.2949224890394747
intersection_nodes,Street Connectivity,10,shiftaware_no_shift,118,117,1,0.00847457627118644,0.5844097167562903,0.3302857066825189,6.947379343134053,4.71325029391257,Riyadh,-2.2107272410522,0.5844097167562903,6.947379343134053,4.71325029391257,0.0,0.3479872881355932,0.0,0.24618644067796608,0.40582627118644077,0.3479872881355932,0.29622127636303314,0.24912018353875215,0.2945739474560672
intersection_nodes,Street Connectivity,10,shiftaware_no_uncertainty,118,117,1,0.00847457627118644,0.5845527327432564,0.33127014979276737,6.969593963422995,4.711244721209424,Riyadh,-2.237488111968073,0.5845527327432564,6.969593963422995,4.711244721209424,0.4082410317359797,0.3551377118644068,0.21490412518684351,0.2478283898305085,0.39703389830508473,0.3551377118644068,0.29622127636303314,0.24912018353875215,0.29494694717216147
intersection_nodes,Street Connectivity,10,source_affine_calib_safe,118,112,6,0.05084745762711865,0.5624360051357905,0.28547637062916414,6.997499931742627,4.865014773287219,Riyadh,-0.9847951843637077,0.5624360051357905,6.997499931742627,4.865014773287219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intersection_nodes,Street Connectivity,10,source_only,118,113,5,0.0423728813559322,0.46337606722394686,0.856564902353335,8.393508011675236,5.722303524277677,Riyadh,-8.384882449192533,0.46337606722394686,8.393508011675236,5.722303524277677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
intersection_nodes,Street Connectivity,10,source_weighted_retrain,118,114,4,0.03389830508474576,0.47330353263901537,0.8123378500269733,8.3370095379922,5.673703512632687,Riyadh,-7.903539233950609,0.47330353263901537,8.3370095379922,5.673703512632687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_segments,Road Intensity,0,source_only,118,104,14,0.11864406779661017,0.4313917426231377,0.3700466197134538,189.11646626074395,130.9889962549651,Yangon,-1.0290137789219616,0.4313917426231377,189.11646626074395,130.9889962549651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_segments,Road Intensity,10,shiftaware_adapt,118,114,4,0.03389830508474576,0.5136415576060491,0.2578370847279392,171.35488100819924,120.08645687620469,Beijing,-0.4615175525177626,0.5136415576060491,171.35488100819924,120.08645687620469,0.4193862665110582,0.38034957627118643,0.22018370857549985,0.1985699152542373,0.4210805084745763,0.38034957627118643,0.37250564079564996,0.33962800007891397,0.36849513192420746
road_segments,Road Intensity,10,shiftaware_no_shift,118,114,4,0.03389830508474576,0.5137968946372555,0.2575279519095434,171.41843959418634,120.07878349106394,Beijing,-0.4626679311149663,0.5137968946372555,171.41843959418634,120.07878349106394,0.0,0.3614936440677965,0.0,0.22521186440677968,0.41329449152542375,0.3614936440677965,0.37250564079564996,0.33962800007891397,0.36808604618636254
road_segments,Road Intensity,10,shiftaware_no_uncertainty,118,114,4,0.03389830508474576,0.5142022553776033,0.25791932491129455,171.44853743415106,119.75509771433236,Beijing,-0.4653665997511475,0.5142022553776033,171.44853743415106,119.75509771433236,0.4082410317359797,0.3550847457627119,0.21490412518684351,0.23750000000000002,0.40741525423728814,0.3550847457627119,0.37250564079564996,0.33962800007891397,0.36848477999443463
road_segments,Road Intensity,10,source_affine_calib_safe,118,111,7,0.059322033898305086,0.49437765500434755,0.25773928235206445,174.09713767858332,125.69971026586053,Beijing,-0.3269519045902725,0.49437765500434755,174.09713767858332,125.69971026586053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_segments,Road Intensity,10,source_only,118,103,15,0.1271186440677966,0.3978721016295153,0.38351243359738113,189.31708767343963,132.11831105583633,Yangon,-0.9789068241780937,0.3978721016295153,189.31708767343963,132.11831105583633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
road_segments,Road Intensity,10,source_weighted_retrain,118,105,13,0.11016949152542373,0.4132381638541278,0.36791230520980517,186.85115290370084,129.90929153609622,Yangon,-0.8906681861373849,0.4132381638541278,186.85115290370084,129.90929153609622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
